지점,지점명,일시,강수량(mm),적설(cm),3시간신적설(cm)
108,서울,2017-04-20 02:00,.1,,
108,서울,2017-05-09 09:00,0,,
108,서울,2017-05-09 10:00,0,,
108,서울,2017-05-09 11:00,0,,
108,서울,2017-05-09 12:00,0,,
108,서울,2017-05-09 16:00,.3,,
108,서울,2017-05-09 17:00,.7,,
108,서울,2017-05-09 18:00,1,,
108,서울,2017-05-09 19:00,.5,,
108,서울,2017-05-09 20:00,0,,
108,서울,2017-05-09 21:00,0,,
108,서울,2017-05-10 02:00,0,,
108,서울,2017-05-10 03:00,0,,
108,서울,2017-05-10 04:00,.4,,
108,서울,2017-05-10 05:00,.6,,
108,서울,2017-05-10 06:00,.5,,
108,서울,2017-05-10 07:00,.5,,
108,서울,2017-05-10 08:00,.5,,
108,서울,2017-05-11 00:00,0,,
108,서울,2017-05-11 01:00,0,,
108,서울,2017-05-11 02:00,0,,
108,서울,2017-05-13 15:00,4,,
108,서울,2017-05-13 16:00,2,,
108,서울,2017-05-15 21:00,0,,
108,서울,2017-05-15 22:00,0,,
108,서울,2017-05-23 18:00,0,,
108,서울,2017-05-23 19:00,1.5,,
108,서울,2017-05-23 20:00,2.5,,
108,서울,2017-05-23 21:00,.5,,
108,서울,2017-05-24 00:00,.5,,
108,서울,2017-05-24 01:00,.1,,
108,서울,2017-05-24 04:00,0,,
108,서울,2017-06-02 21:00,0,,
108,서울,2017-06-02 23:00,0,,
108,서울,2017-06-05 01:00,0,,
108,서울,2017-06-05 02:00,0,,
108,서울,2017-06-06 12:00,0,,
108,서울,2017-06-06 13:00,0,,
108,서울,2017-06-06 14:00,0,,
108,서울,2017-06-06 15:00,0,,
108,서울,2017-06-06 16:00,0,,
108,서울,2017-06-06 17:00,.5,,
108,서울,2017-06-06 18:00,1,,
108,서울,2017-06-06 19:00,1,,
108,서울,2017-06-06 20:00,.5,,
108,서울,2017-06-06 21:00,7,,
108,서울,2017-06-06 22:00,2.5,,
108,서울,2017-06-06 23:00,1,,
108,서울,2017-06-07 00:00,2,,
108,서울,2017-06-07 01:00,3,,
108,서울,2017-06-07 02:00,1,,
108,서울,2017-06-07 03:00,2.5,,
108,서울,2017-06-07 04:00,.5,,
108,서울,2017-06-07 05:00,.5,,
108,서울,2017-06-07 06:00,1.5,,
108,서울,2017-06-07 07:00,1,,
108,서울,2017-06-07 08:00,.5,,
108,서울,2017-06-07 09:00,0,,
108,서울,2017-06-07 10:00,1,,
108,서울,2017-06-07 11:00,0,,
108,서울,2017-06-07 12:00,.5,,
108,서울,2017-06-07 13:00,.5,,
108,서울,2017-06-07 14:00,0,,
108,서울,2017-06-07 15:00,0,,
108,서울,2017-06-07 16:00,0,,
108,서울,2017-06-07 18:00,0,,
108,서울,2017-06-09 07:00,.1,,
108,서울,2017-06-09 08:00,0,,
108,서울,2017-06-09 09:00,0,,
108,서울,2017-06-09 10:00,0,,
108,서울,2017-06-09 16:00,0,,
108,서울,2017-06-09 17:00,0,,
108,서울,2017-06-10 04:00,0,,
108,서울,2017-06-10 05:00,.5,,
108,서울,2017-06-10 06:00,3,,
108,서울,2017-06-10 07:00,1,,
108,서울,2017-06-10 08:00,0,,
108,서울,2017-06-13 21:00,0,,
108,서울,2017-06-13 22:00,0,,
108,서울,2017-06-20 16:00,0,,
108,서울,2017-06-20 17:00,0,,
108,서울,2017-06-20 19:00,0,,
108,서울,2017-06-21 00:00,0,,
108,서울,2017-06-21 01:00,0,,
108,서울,2017-06-21 02:00,0,,
108,서울,2017-06-24 13:00,0,,
108,서울,2017-06-24 14:00,0,,
108,서울,2017-06-24 15:00,0,,
108,서울,2017-06-24 16:00,0,,
108,서울,2017-06-24 17:00,.1,,
108,서울,2017-06-24 20:00,.1,,
108,서울,2017-06-24 21:00,.3,,
108,서울,2017-06-24 22:00,.5,,
108,서울,2017-06-24 23:00,0,,
108,서울,2017-06-25 00:00,2.5,,
108,서울,2017-06-25 01:00,.1,,
108,서울,2017-06-25 15:00,0,,
108,서울,2017-06-25 16:00,0,,
108,서울,2017-06-25 17:00,.9,,
108,서울,2017-06-25 19:00,0,,
108,서울,2017-06-25 20:00,.5,,
108,서울,2017-06-26 04:00,3,,
108,서울,2017-06-26 05:00,2,,
108,서울,2017-06-26 06:00,1,,
108,서울,2017-06-26 07:00,0,,
108,서울,2017-06-26 08:00,0,,
108,서울,2017-06-26 09:00,11,,
108,서울,2017-06-26 10:00,6.5,,
108,서울,2017-06-26 17:00,.5,,
108,서울,2017-06-26 18:00,4.5,,
108,서울,2017-06-26 19:00,.5,,
108,서울,2017-06-26 20:00,0,,
108,서울,2017-06-27 01:00,0,,
108,서울,2017-06-27 22:00,0,,
108,서울,2017-07-01 19:00,0,,
108,서울,2017-07-01 20:00,.5,,
108,서울,2017-07-01 21:00,0,,
108,서울,2017-07-01 22:00,0,,
108,서울,2017-07-01 23:00,0,,
108,서울,2017-07-02 00:00,0,,
108,서울,2017-07-02 01:00,.5,,
108,서울,2017-07-02 02:00,.5,,
108,서울,2017-07-02 03:00,2.5,,
108,서울,2017-07-02 04:00,1,,
108,서울,2017-07-02 05:00,2.5,,
108,서울,2017-07-02 06:00,.5,,
108,서울,2017-07-02 07:00,0,,
108,서울,2017-07-02 08:00,0,,
108,서울,2017-07-02 09:00,9,,
108,서울,2017-07-02 10:00,0,,
108,서울,2017-07-02 11:00,0,,
108,서울,2017-07-02 12:00,0,,
108,서울,2017-07-02 13:00,0,,
108,서울,2017-07-02 14:00,0,,
108,서울,2017-07-02 15:00,0,,
108,서울,2017-07-02 16:00,0,,
108,서울,2017-07-02 17:00,0,,
108,서울,2017-07-02 18:00,0,,
108,서울,2017-07-02 19:00,.5,,
108,서울,2017-07-02 20:00,0,,
108,서울,2017-07-02 21:00,12.5,,
108,서울,2017-07-02 22:00,.5,,
108,서울,2017-07-02 23:00,21.5,,
108,서울,2017-07-03 00:00,40.5,,
108,서울,2017-07-03 01:00,50.5,,
108,서울,2017-07-03 02:00,10.5,,
